date,strategy,drawdown
2025-06-04,4. Quintile Low Vol,0.0
2025-06-05,4. Quintile Low Vol,0.0
2025-06-06,4. Quintile Low Vol,0.0
2025-06-09,4. Quintile Low Vol,0.0
2025-06-10,4. Quintile Low Vol,0.0
2025-06-11,4. Quintile Low Vol,0.0
2025-06-12,4. Quintile Low Vol,0.0
2025-06-13,4. Quintile Low Vol,0.0
2025-06-16,4. Quintile Low Vol,0.0
2025-06-17,4. Quintile Low Vol,0.0
2025-06-18,4. Quintile Low Vol,0.0
2025-06-20,4. Quintile Low Vol,0.0
2025-06-23,4. Quintile Low Vol,0.0
2025-06-24,4. Quintile Low Vol,0.0
2025-06-25,4. Quintile Low Vol,0.0
2025-06-26,4. Quintile Low Vol,0.0
2025-06-27,4. Quintile Low Vol,0.0
2025-06-30,4. Quintile Low Vol,0.0
2025-07-01,4. Quintile Low Vol,0.0
2025-07-02,4. Quintile Low Vol,0.0
2025-07-03,4. Quintile Low Vol,0.0
2025-07-07,4. Quintile Low Vol,0.0
2025-07-08,4. Quintile Low Vol,0.0
2025-07-09,4. Quintile Low Vol,0.0
2025-07-10,4. Quintile Low Vol,0.0
2025-07-11,4. Quintile Low Vol,0.0
2025-07-14,4. Quintile Low Vol,0.0
2025-07-15,4. Quintile Low Vol,0.0
2025-07-16,4. Quintile Low Vol,0.0
2025-07-17,4. Quintile Low Vol,0.0
2025-07-18,4. Quintile Low Vol,0.0
2025-07-21,4. Quintile Low Vol,0.0
2025-07-22,4. Quintile Low Vol,0.0
2025-07-23,4. Quintile Low Vol,0.0
2025-07-24,4. Quintile Low Vol,0.0
2025-07-25,4. Quintile Low Vol,0.0
2025-07-28,4. Quintile Low Vol,0.0
2025-07-29,4. Quintile Low Vol,0.0
2025-07-30,4. Quintile Low Vol,0.0
2025-07-31,4. Quintile Low Vol,0.0
2025-08-01,4. Quintile Low Vol,0.0
2025-08-04,4. Quintile Low Vol,0.0
2025-08-05,4. Quintile Low Vol,0.0
2025-08-06,4. Quintile Low Vol,0.0
2025-08-07,4. Quintile Low Vol,0.0
2025-08-08,4. Quintile Low Vol,0.0
2025-08-11,4. Quintile Low Vol,0.0
2025-08-12,4. Quintile Low Vol,0.0
2025-08-13,4. Quintile Low Vol,0.0
2025-08-14,4. Quintile Low Vol,0.0
2025-08-15,4. Quintile Low Vol,0.0
2025-08-18,4. Quintile Low Vol,0.0
2025-08-19,4. Quintile Low Vol,0.0
2025-08-20,4. Quintile Low Vol,0.0
2025-08-21,4. Quintile Low Vol,0.0
2025-08-22,4. Quintile Low Vol,0.0
2025-08-25,4. Quintile Low Vol,0.0
2025-08-26,4. Quintile Low Vol,0.0
2025-08-27,4. Quintile Low Vol,0.0
2025-08-28,4. Quintile Low Vol,0.0
2025-08-29,4. Quintile Low Vol,-0.0010999999999999899
2025-09-02,4. Quintile Low Vol,-0.005502432458548423
2025-09-03,4. Quintile Low Vol,-0.005590644065686989
2025-09-04,4. Quintile Low Vol,0.0
2025-09-05,4. Quintile Low Vol,-2.9969560802059583e-05
2025-09-08,4. Quintile Low Vol,0.0
2025-09-09,4. Quintile Low Vol,0.0
2025-09-10,4. Quintile Low Vol,0.0
2025-09-11,4. Quintile Low Vol,0.0
2025-09-12,4. Quintile Low Vol,-1.2129398049169152e-05
2025-09-15,4. Quintile Low Vol,0.0
2025-09-16,4. Quintile Low Vol,-0.005676119397616966
2025-09-17,4. Quintile Low Vol,-0.0005882167133785577
2025-09-18,4. Quintile Low Vol,0.0
2025-09-19,4. Quintile Low Vol,-1.2902221939170056e-05
2025-09-22,4. Quintile Low Vol,-0.007089311202810663
2025-09-23,4. Quintile Low Vol,-0.011652078940589337
2025-09-24,4. Quintile Low Vol,-0.009683808583661803
2025-09-25,4. Quintile Low Vol,-0.012648146292315142
2025-09-26,4. Quintile Low Vol,-0.013743512155356078
2025-09-29,4. Quintile Low Vol,-0.006630066797796313
2025-09-30,4. Quintile Low Vol,-0.0016113155862512156
2025-10-01,4. Quintile Low Vol,0.0
2025-10-02,4. Quintile Low Vol,-0.006520859260696529
2025-10-03,4. Quintile Low Vol,-0.006534547337033508
2025-10-06,4. Quintile Low Vol,0.0
2025-10-07,4. Quintile Low Vol,0.0
2025-10-08,4. Quintile Low Vol,-0.0006674263392821296
2025-10-09,4. Quintile Low Vol,-0.00912425785702407
2025-10-10,4. Quintile Low Vol,-0.010217130165202754
2025-10-13,4. Quintile Low Vol,0.0
2025-10-14,4. Quintile Low Vol,-0.0023723031337971913
2025-10-15,4. Quintile Low Vol,-0.00030825508567614956
2025-10-16,4. Quintile Low Vol,-0.02689140500528658
2025-10-17,4. Quintile Low Vol,-0.029041954224961555
2025-10-20,4. Quintile Low Vol,-0.02474180328920682
2025-10-21,4. Quintile Low Vol,-0.0285509553987386
2025-10-22,4. Quintile Low Vol,-0.02315328280879438
2025-10-23,4. Quintile Low Vol,-0.024317859317442195
2025-10-24,4. Quintile Low Vol,-0.024336122995687867
2025-10-27,4. Quintile Low Vol,-0.01722269122420695
2025-10-28,4. Quintile Low Vol,-0.016027966473165206
2025-10-29,4. Quintile Low Vol,-0.01735796701391284
2025-10-30,4. Quintile Low Vol,-0.025791951306797345
2025-10-31,4. Quintile Low Vol,-0.025800586140637516
2025-11-03,4. Quintile Low Vol,-0.033265636997471586
2025-11-04,4. Quintile Low Vol,-0.03425810146853565
2025-11-05,4. Quintile Low Vol,-0.043220900414728085
2025-11-06,4. Quintile Low Vol,-0.05018267287348503
2025-11-07,4. Quintile Low Vol,-0.05019786772169448
2025-11-10,4. Quintile Low Vol,-0.03673906680160377
2025-11-11,4. Quintile Low Vol,-0.02038080643383543
2025-11-12,4. Quintile Low Vol,-0.01660383605214949
2025-11-13,4. Quintile Low Vol,-0.021918520474121385
2025-11-14,4. Quintile Low Vol,-0.02193068079138555
2025-11-17,4. Quintile Low Vol,-0.01539883095893578
2025-11-18,4. Quintile Low Vol,-0.02748285390764732
2025-11-19,4. Quintile Low Vol,-0.027611530006827003
2025-11-20,4. Quintile Low Vol,-0.03454370221957884
2025-11-21,4. Quintile Low Vol,-0.03560134296864992
2025-11-24,4. Quintile Low Vol,-0.02856846684014757
2025-11-25,4. Quintile Low Vol,-0.0194030037801873
2025-11-26,4. Quintile Low Vol,-0.01940528687998711
2025-05-30,5. Mean Reversion,0.0
2025-06-02,5. Mean Reversion,0.0
2025-06-03,5. Mean Reversion,0.0
2025-06-04,5. Mean Reversion,0.0
2025-06-05,5. Mean Reversion,0.0
2025-06-06,5. Mean Reversion,0.0
2025-06-09,5. Mean Reversion,0.0
2025-06-10,5. Mean Reversion,0.0
2025-06-11,5. Mean Reversion,0.0
2025-06-12,5. Mean Reversion,0.0
2025-06-13,5. Mean Reversion,-0.0010999999999998789
2025-06-16,5. Mean Reversion,0.0
2025-06-17,5. Mean Reversion,-0.010879625427911651
2025-06-18,5. Mean Reversion,-0.016868319511908713
2025-06-20,5. Mean Reversion,-0.017602085546669144
2025-06-23,5. Mean Reversion,-0.009187687135782678
2025-06-24,5. Mean Reversion,0.0
2025-06-25,5. Mean Reversion,0.0
2025-06-26,5. Mean Reversion,0.0
2025-06-27,5. Mean Reversion,-0.0003376304220495263
2025-06-30,5. Mean Reversion,0.0
2025-07-01,5. Mean Reversion,-0.004096944675594672
2025-07-02,5. Mean Reversion,0.0
2025-07-03,5. Mean Reversion,-0.0006043340812455566
2025-07-07,5. Mean Reversion,-0.016707202091754903
2025-07-08,5. Mean Reversion,-0.017629403863681264
2025-07-09,5. Mean Reversion,-0.008349448892501185
2025-07-10,5. Mean Reversion,-0.0005374308518593236
2025-07-11,5. Mean Reversion,-0.0013176109533496714
2025-07-14,5. Mean Reversion,0.0
2025-07-15,5. Mean Reversion,-0.008453758327425587
2025-07-16,5. Mean Reversion,-0.003319687997314356
2025-07-17,5. Mean Reversion,-0.0007844839936757586
2025-07-18,5. Mean Reversion,-0.0013983413648860426
2025-07-21,5. Mean Reversion,0.0
2025-07-22,5. Mean Reversion,0.0
2025-07-23,5. Mean Reversion,0.0
2025-07-24,5. Mean Reversion,-0.005333448968998888
2025-07-25,5. Mean Reversion,-0.005911682925389568
2025-07-28,5. Mean Reversion,0.0
2025-07-29,5. Mean Reversion,-0.00960636675093929
2025-07-30,5. Mean Reversion,-0.011011966312607474
2025-07-31,5. Mean Reversion,0.0
2025-08-01,5. Mean Reversion,-0.00092716855752374
2025-08-04,5. Mean Reversion,0.0
2025-08-05,5. Mean Reversion,-0.004031372241181285
2025-08-06,5. Mean Reversion,0.0
2025-08-07,5. Mean Reversion,0.0
